Uid	Term	Term_Score
355	all	100
356	all	100
356	kodi	43.55359
357	all	100
357	home screen	47.36966
357	nvidia	40.76477
358	all	100
358	shield	36.59625
359	all	100
359	apps	31.21547
360	all	100
360	keyboard	18.57645
360	nvidia	40.76477
360	app	9.825978
361	all	100
361	android	35.81115
362	all	100
363	all	100
363	android tv	42.96536
364	all	100
364	apps	31.21547
365	all	100
365	android box	43.46378
366	all	100
366	android	35.81115
366	nvidia	40.76477
367	all	100
367	kodi	43.55359
367	fast	18.65117
368	all	100
368	android	35.81115
369	all	100
370	all	100
370	android tv	42.96536
371	all	100
371	apps	31.21547
372	all	100
372	google play	53.70535
372	android tv	48.42155
372	shield	36.59625
372	boxes	32.40374
372	apps	31.21547
373	all	100
373	kodi	43.55359
374	all	100
374	android	35.81115
374	apps	31.21547
375	all	100
375	android box	43.46378
376	all	100
376	plex	42.18784
377	all	100
377	nvidia	40.76477
378	all	100
378	android	35.81115
379	all	100
379	google play	53.70535
379	play store	60.52608
380	all	100
380	shield	36.59625
381	all	100
381	android tv	48.42155
381	apps	31.21547
382	all	100
383	all	100
384	all	100
384	kodi	43.55359
385	all	100
385	android	35.81115
386	all	100
387	all	100
388	all	100
388	kodi	43.55359
389	all	100
389	kodi	43.55359
390	all	100
391	all	100
391	canada	34.42183
392	all	100
392	support	13.19773
392	canada	34.42183
393	all	100
393	kodi	43.55359
394	all	100
395	all	100
395	android tv	42.96536
396	all	100
397	all	100
398	all	100
398	apps	31.21547
399	all	100
399	play store	60.52608
399	apps	31.21547
400	all	100
400	android	35.81115
401	all	100
401	android tv	48.42155
401	apps	31.21547
402	all	100
402	nvidia	40.76477
403	all	100
403	device	17.80915
404	all	100
404	sideload	38.56382
404	apps	31.21547
405	all	100
405	kodi	43.55359
406	all	100
406	apps	31.21547
407	all	100
408	all	100
408	nvidia	40.76477
409	all	100
409	apps	31.21547
410	all	100
411	all	100
411	assistant	34.81524
411	google	28.64112
412	all	100
412	apps	31.21547
413	all	100
413	kodi	43.55359
414	all	100
414	android	35.81115
414	apps	31.21547
415	all	100
415	nvidia	40.76477
416	all	100
416	nvidia	40.76477
417	all	100
417	android tv	42.96536
418	all	100
418	android tv	42.96536
418	plex	42.18784
418	kodi	43.55359
419	all	100
419	google play	53.70535
419	control	19.40601
419	remote	28.54707
419	apps	31.21547
420	all	100
420	plex	42.18784
421	all	100
422	all	100
422	apps	31.21547
423	all	100
423	shield	36.59625
423	apps	31.21547
424	all	100
424	shield	36.59625
424	plex	42.18784
425	all	100
425	nvidia	40.76477
425	google	28.64112
425	apps	31.21547
426	all	100
426	apps	31.21547
427	all	100
427	google play	53.70535
427	apps	31.21547
428	all	100
429	all	100
429	plex	42.18784
430	all	100
430	sideload	38.56382
430	google	28.64112
431	all	100
432	all	100
433	all	100
433	shield	36.59625
434	all	100
435	all	100
435	plex	42.18784
436	all	100
436	nvidia	40.76477
437	all	100
437	port	13.75571
437	kodi	43.55359
438	all	100
438	plex	42.18784
439	all	100
439	shield	36.59625
439	plex	42.18784
440	all	100
440	user	18.41505
441	all	100
441	nvidia	40.76477
442	all	100
442	streaming	32.39369
442	shield	36.59625
442	nvidia	40.76477
443	all	100
443	android tv	42.96536
443	canada	34.42183
443	4k	32.43502
444	all	100
445	all	100
445	plex	42.18784
446	all	100
446	nvidia	40.76477
447	all	100
447	errors	12.52723
448	all	100
448	nvidia	40.76477
449	all	100
449	apps	31.21547
450	all	100
450	streaming	32.39369
451	all	100
451	plex	42.18784
452	all	100
453	all	100
454	all	100
454	chromecast	17.73504
455	all	100
456	all	100
456	plex	42.18784
457	all	100
457	gamestream	28.78266
457	game	26.56835
458	all	100
458	kodi	43.55359
459	all	100
459	network	13.73266
459	shield	36.59625
460	all	100
461	all	100
461	apps	31.21547
462	all	100
463	all	100
463	play store	60.52608
463	apps	31.21547
464	all	100
464	kodi	43.55359
465	all	100
466	all	100
466	best android	45.0793
466	android box	43.46378
466	games	31.7364
467	all	100
467	google play	53.70535
468	all	100
468	powerful	18.58845
468	smooth	17.09252
468	apps	31.21547
469	all	100
469	assistant	34.81524
469	google	28.64112
470	all	100
470	android	35.81115
470	stream	27.31586
470	gaming	27.7613
470	games	31.7364
471	all	100
471	apps	31.21547
472	all	100
472	android	35.81115
472	games	31.7364
473	all	100
474	all	100
474	easy to set	62.3221
474	apps	31.21547
475	all	100
475	google play	53.70535
475	play store	60.52608
475	android	35.81115
475	games	31.7364
476	all	100
476	android tv	48.42155
476	streaming	32.39369
476	apps	31.21547
477	all	100
477	plex	42.18784
477	kodi	43.55359
478	all	100
478	best android	45.0793
478	android tv	48.42155
479	all	100
479	kodi	43.55359
480	all	100
480	google play	53.70535
480	play store	60.52608
480	nvidia	40.76477
480	games	31.7364
481	all	100
482	all	100
482	streaming device	40.73249
482	media	21.99581
483	all	100
483	android	35.81115
483	games	31.7364
484	all	100
484	media player	63.95177
484	streaming	32.39369
484	plex	42.18784
485	all	100
485	nvidia shield tv	106.1373
485	streaming	32.39369
486	all	100
486	google	28.64112
487	all	100
488	all	100
488	android	35.81115
488	apps	31.21547
489	all	100
489	android	27.88519
489	stream	27.31586
489	nvidia	35.66807
489	games	31.7364
490	all	100
490	stream	27.31586
490	games	31.7364
490	plex	42.18784
490	game	26.56835
490	apps	31.21547
491	all	100
491	google	28.64112
491	apps	31.21547
492	all	100
492	android	35.81115
492	game	26.56835
493	all	100
493	apps	31.21547
494	all	100
494	kodi	43.55359
495	all	100
495	shield	36.59625
496	all	100
496	sideload	38.56382
497	all	100
497	plex	42.18784
498	all	100
498	apps	31.21547
499	all	100
499	plex	42.18784
500	all	100
500	kodi	43.55359
501	all	100
501	kodi	43.55359
501	apps	31.21547
502	all	100
502	apps	31.21547
503	all	100
503	apps	31.21547
504	all	100
505	all	100
505	google	28.64112
506	all	100
506	apps	31.21547
507	all	100
507	streaming	32.39369
508	all	100
508	google play	53.70535
508	android tv	48.42155
508	streaming	32.39369
508	apps	31.21547
509	all	100
509	assistant	34.81524
509	google	28.64112
509	kodi	43.55359
510	all	100
510	android	35.81115
510	games	31.7364
511	all	100
511	canada	34.42183
512	all	100
512	plex	34.13387
513	all	100
513	shield	36.59625
513	nvidia	40.76477
513	google	28.64112
514	all	100
514	plex	42.18784
514	apps	31.21547
515	all	100
515	streaming	27.29296
515	videos	14.39745
515	games	31.7364
516	all	100
516	apps	31.21547
517	all	100
517	streaming	32.39369
518	all	100
518	android	35.81115
518	games	31.7364
519	all	100
519	android	35.81115
519	apps	31.21547
520	all	100
520	apps	31.21547
521	all	100
521	assistant	34.81524
521	google	28.64112
522	all	100
522	canada	34.42183
523	all	100
523	apps	31.21547
524	all	100
524	android boxes	45.36487
524	google	28.64112
525	all	100
526	all	100
526	android tv	48.42155
526	apps	31.21547
527	all	100
527	android tv	48.42155
527	apps	31.21547
528	all	100
528	apps	31.21547
529	all	100
529	google play	53.70535
529	play store	60.52608
529	android tv	48.42155
529	apps	31.21547
530	all	100
531	all	100
531	android	35.81115
531	games	31.7364
531	apps	31.21547
532	all	100
532	apps	31.21547
533	all	100
533	apps	31.21547
534	all	100
534	kodi	43.55359
535	all	100
535	apps	31.21547
536	all	100
536	android box	43.46378
536	kodi	43.55359
537	all	100
537	android	35.81115
538	all	100
539	all	100
539	kodi	43.55359
540	all	100
540	google play	53.70535
541	all	100
541	android box	43.46378
541	shield	36.59625
541	apps	31.21547
542	all	100
542	apps	31.21547
543	all	100
543	google	28.64112
543	apps	31.21547
544	all	100
544	apps	31.21547
545	all	100
545	plex	42.18784
545	kodi	43.55359
546	all	100
546	android	35.81115
546	apps	31.21547
547	all	100
547	streaming device	40.73249
547	media player	63.95177
548	all	100
548	android	35.81115
548	plex	42.18784
549	all	100
549	android	35.81115
549	plex	42.18784
550	all	100
550	streaming	32.39369
